victor_id	ogg_id	protegen_annotation	protegen_id	protegen_vo_iri	vaccine_vo_iri
2114	OGG_3001039578	Immunization with IutA protects against urinary tract colinization by E.coli CFT073 in the bladders of CBA/J mice [PMID:26729174].  We demonstrated for IutA, antigen-specific serum IgG represents a strong correlate of protection in vaccinated mice [PMID:26729174].	280	http://purl.obolibrary.org/obo/VO_0010986	http://purl.obolibrary.org/obo/VO_0011445
2265	OGG_3000948847	Antibodies directed at the putative binding region of FimH (anti- s-FimH1-25) significantly reduced E. coli bladder infections in the experimental mouse model of urinary tract infections [PMID:9276729].	281	http://purl.obolibrary.org/obo/VO_0010987	http://purl.obolibrary.org/obo/VO_0001168
3463	OGG_3007379404	Active immunization of BALB/c mice with IroN antigen in Freund's adjuvant protects mice from lethal challenge with ExPEC strain S26 [PMID:17145948].	282	http://purl.obolibrary.org/obo/VO_0010988	
39	OGG_3000876502	S. flexneri M90T is a colonisation-defective mutant with a transposon in fnr, which encodes a regulator of anaerobic metabolism. To establish whether FNR-mediated repression of spa32 and spa33 contributes to increased Shigella entry into cells in an anaerobic cabinet, recombinant M90T strains were constructed which contain spa32 and spa33 under the control of either their native promoters (M90Tp32/33) or promoters with disrupted FNR boxes (M90Tp#32/#33).The presence in M90T of spa32 and spa33 alleles that are not repressed by FNR led to IpaB secretion during anaerobic growth, and loss of the increased entry of Shigella into cells in an anaerobic cabinet [PMID:20436458].	288	http://purl.obolibrary.org/obo/VO_0010992	
917	OGG_3001238054	The invasive ability of Shigella spp. is correlated with the expression of several plasmid-encoded proteins, including invasion plasmid antigen C (IpaC).  Animals asymptomatic for shigellosis after challenge with S. flexneri recognized peptide epitopes within all three epitopic regions of IpaC, whereas symptomatic animals recognized peptides in only one or two of the epitopic regions.  Antibody from monkeys challenged with S. sonnei recognized IpaC peptide epitopes which fell within and outside the three S. flexneri epitopic regions [PMID:7558301].	310		
4478	OGG_3007900172	Oral immunization of mice with ZJ111/pcDNA3-SAG1 elicited specific humoral responses and stimulated proliferation of splenocytes (P<0.05). Mice immunized with ZJ111/pcDNA3-SAG1 displayed significant protection against an intraperitoneally challenge with 500 tachyzoite forms of T. gondii RH strain. Vaccination at 10(7) and 10(8)CFU per mice provided a 20% and 10% survival rate comparing 100% mortality of the non-immunized mice, exhibiting longer living time and better survival rate [PMID:18590785].	326	http://purl.obolibrary.org/obo/VO_0011000	
2516	OGG_3001149313	Modified yopD antigens were able to partially protect immunized mice at various levels against lethal challenge with Y. pestis KIM 1001 strain [PMID:18291562].	339	http://purl.obolibrary.org/obo/VO_0011002	
784	OGG_3001147351	Study tested the efficacy of 2 proteins, Psn and a portion of LcrV in protecting mice against virulent Yersinia pestis challenge.  Results show that the truncated LcrV protein delivered by RASV is sufficient to afford a full protective immune response in a mouse model of bubonic plague and the Psn protein afforded partial protection in a non-optimized system [PMID:17966435].	351	http://purl.obolibrary.org/obo/VO_0011014	
1127	OGG_3001172712	Study evaluated the humoral immune response of mice that survived lethal Y. pestis aerosol challenge after antibiotic treatment.  Results indicated that one of the predominant antibody response of mice surviving pneumonic plague after treatment with antibiotics was to yopH [PMID:10085037].	352	http://purl.obolibrary.org/obo/VO_0011015	
3950	OGG_3002664290	Researchers constructed isogenic mutants of B. pertussis Tohama expressing the alleles ptxA1 or ptxA2 and prn1 or prn2 and compared the efficacies of an acellular pertussis vaccine against the mutants in a mouse model. While the vaccine was effective against all of the B. pertussis strains regardless of the allele expression pattern, the strain expressing ptxA1 and prn2 displayed a survival advantage over the other strains [PMID:20357056].	378	http://purl.obolibrary.org/obo/VO_0011033	
3957	OGG_3002665068	BALB/c mice were immunized with PTx vaccine on day 6 of life and then challenged with B. pertussis using the aerosol challenge model.  These primed mice were significantly better protected against leukocytosis, weight loss, and proliferation of B. pertussis in the lungs following aerosol challenge than the nonprimed group. This protection correlated with levels of anti-PT antibody in serum present on the day of aerosol challenge [PMID:12117973].	379	http://purl.obolibrary.org/obo/VO_0011034	
3964	OGG_3002667056	Researchers examined the ability of B. pertussis mutants, defective in their ability to regulate the expression of the bvg-activated and/or the bvg-repressed genes, to cause disease in the mouse aerosol challenge model. Results indicate that the bvgR-mediated regulation of gene expression contributes to respiratory infection of mice [PMID:9712789].	380		
3967	OGG_3002667059	Alterations to the promoter regions of bvg-activated genes can alter the kinetic pattern of expression of these genes without changing steady-state transcription levels. In addition, B. pertussis strains containing these promoter alterations that express either ptx at an early time or fha at a late time demonstrate a significant reduction in their ability to colonize respiratory tracts in an intranasal mouse model of infection [PMID:11254549].	381		
632	OGG_3003191591	Mice immunized with rLm/iglC were protected against lethal challenge with F. tularensis LVS administered by the intranasal route, a route chosen to mimic airborne infection, and, most importantly, against aerosol challenge with the highly virulent Type A F. tularensis SchuS4 strain [PMID:19126421].	470	http://purl.obolibrary.org/obo/VO_0011072	
4913	OGG_3005522688	Immunization with WbtI(G191V) protected mice against a relatively low-dose intraperitoneal challenge with LVS (F. tularensis subspecies holarctica live vaccine strain), but was less protective against a high-dose challenge [PMID:17768257].	472	http://purl.obolibrary.org/obo/VO_0011074	
666	OGG_3003191792	Anti-lpnA MAbs conferred significant, although not complete, protection of naÃ¯ve C3H/HeN mice from lethal challenge with F. tularensis LVS when administered therapeutically [PMID:19176692].	477	http://purl.obolibrary.org/obo/VO_0011079	
2827	OGG_3003429565	Rabbit antibody prepared against P2 from one strain was cross-reactive with P2 isolated from the other two heterologous strains by Western blot. This antibody passively protected infant rats against type b Haemophilus infection caused by the homologous organism, but not against challenge by a strain with the heterologous 36,500 mol wt P2 protein [PMID:6603479].	485	http://purl.obolibrary.org/obo/VO_0011084	
4527	OGG_3002703406	BALB/c mice receiving a glycoprotein D1 (gD1, US5) DNA vaccine alone were 80% protected against a subsequent HSV-1 challenge.  Results also indicate that the administration of NLX as an adjuvant improved protective immunity against HSV-1 [PMID:19174474].	501	http://purl.obolibrary.org/obo/VO_0011098	
4976	OGG_3002703448	Protection against a lethal intraperitoneal challenge of HSV-1 (5 x 10(4) pfu) with gC or gE (US8) plasmid vaccination could be demonstrated if the inoculating dose of DNA was 250 microg. All mice immunized with vaccinia recombinants expressing either gC or gE survived HSV-1 challenge [PMID:9728527].	507	http://purl.obolibrary.org/obo/VO_0011104	
4984	OGG_3000956528	A targeted fusion protein based on the CTA1-DD adjuvant and containing tandem repeats of the matrix protein 2 (M2e) ectodomain epitope derived from Influenza A virus (A/Puerto Rico/8/34(H1N1)), CTA1-3M2e-DD, confers strong protective immunity against a potentially lethal challenge infection with influenza virus in mice. The formulation was highly effective for mucosal immunizations and promoted high M2e-specific serum IgG and mucosal IgA antibody titers and an hitherto unknown anti-M2e CD4 T cell immunity [PMID:18243429].	524	http://purl.obolibrary.org/obo/VO_0011119	
1916	OGG_3001489805	Lewis rats were immunized with recombinant vaccinia virus (VV) expressing various proteins of measles virus (MV). VVP (Phosphoprotein) -immunized rats were partially protected from MV challenge [PMID:1833505].	580	http://purl.obolibrary.org/obo/VO_0011169	
1915	OGG_3001489803	Lewis rats were immunized with recombinant vaccinia virus (VV) expressing various proteins of measles virus (MV). VVM (Matrix Protein) -immunized rats were partially protected from MV challenge [PMID:1833505].	581	http://purl.obolibrary.org/obo/VO_0011170	
3010	OGG_3000903370	A total of 11 meningococcal proteins that are necessary for establishing systemic infection were expressed as recombinant antigens and assessed for their ability to protect mice against live bacterial challenge against N. meningitidis; ExbB, which is required for iron acquisition, elicited protective immunity [PMID:15964482].	601	http://purl.obolibrary.org/obo/VO_0011186	http://purl.obolibrary.org/obo/VO_0004011
3074	OGG_3004441611	Immunization with the pneumococcal proteins pneumolysin (Ply), choline binding protein A (CbpA), or pneumococcal surface protein A (PspA) elicits protective responses against invasive pneumococcal disease in animal models.[PMID:26245351]	607	http://purl.obolibrary.org/obo/VO_0011192	
3069	OGG_3004441476	The protective effects of ATP-dependent caseinolytic protease (ClpP) was evaluated. Vaccinated mice were intraperitoneally and/or intranasally challenged with different pneumococcal strains. In intraperitoneal challenge models with pneumococcal strain D39 (serotype 2), clpP elicited some protection in mice [PMID:20038538].	608	http://purl.obolibrary.org/obo/VO_0011193	http://purl.obolibrary.org/obo/VO_0004006
3631	OGG_3007329552	Mice immunized with recombinant (r)PsrP(BR) had significantly less bacteria in their blood and improved survival versus controls following intranasal challenge [PMID:19627498].	613	http://purl.obolibrary.org/obo/VO_0011197	
3095	OGG_3004442999	Intraperitoneal immunization with recombinant SrtA was found to have  conferred to mice protection against S. pneumoniae intraperitoneal challenge and the passive transfer of immune serum before intraperitoneal challenge was also protective. Moreover, by using the intranasal challenge model,  significant reduction of bacteremia when mice were intraperitoneally immunized with SrtA was observed, while a moderate decrease of lung infection was achieved by intranasal immunization, even though no influence on nasopharynx colonization was seen [PMID:19433540].	615	http://purl.obolibrary.org/obo/VO_0011199	http://purl.obolibrary.org/obo/VO_0004008
3062	OGG_3004441159	Mice were actively immunized with a fragment of choline binding protein A (CbpA; also known as PspC, Hic, and SpsA). CbpA was able to protect mice from intraperitoneal challenge with medium to very high doses of a highly virulent capsular type 2 pneumococcal strain, D39 [PMID:11553536].	619	http://purl.obolibrary.org/obo/VO_0011203	http://purl.obolibrary.org/obo/VO_0004005
3066	OGG_3004441373	Groups of BALB/c mice immunized with choline binding protein PspA were challenged with either D39 or WCH16. PspA elicited protection by using moderate challenge doses of S. pneumoniae [PMID:17088353].	620	http://purl.obolibrary.org/obo/VO_0011204	http://purl.obolibrary.org/obo/VO_0004007
3028	OGG_3001489853	Mice vaccinated intraperitoneally (i.p.) with 10^7 p.f.u. of a vaccinia virus recombinant expressing either the glycoprotein (rVac-G) or nucleoprotein (rVac-N) of rabies virus 3 weeks before challenge were protected against peripheral lethal infection [PMID:8207400].	648	http://purl.obolibrary.org/obo/VO_0011232	
4993	OGG_3002952540	To examine the response by IE180 more closely, a vaccine trial in mice with a vector DNA construct that contains the gene encoding for IE180, designated pcDNAIE180 was conducted.  Seven months after immunization with pcDNAIE180, an overall 25% of BALB/c, C3H/HeJ, and C57BL/6 mice receiving a lethal PrV challenge were protected [PMID:9586695].	658	http://purl.obolibrary.org/obo/VO_0011242	http://purl.obolibrary.org/obo/VO_0004039
1920	OGG_3000156110	Study compared the handling of overlapping 24-mer peptides from HIV Nef either mixed or covalently linked in tandem in one protein.  With adjuvant, overlapping peptides were capable of protecting Balb/c mice against lethal viral challenge with 3 Ã— 108 plaque forming units of vv-nef, whereas the intact protein was less protective [PMID:19193636].	707	http://purl.obolibrary.org/obo/VO_0011261	
2445	OGG_3002614504	Antibodies generated against TcpF are protective against experimental V. cholerae infection in the infant mouse cholera model [PMID:16040956].	733	http://purl.obolibrary.org/obo/VO_0011272	
3984	OGG_3001449458	Mice actively immunized using a recombinant V antigen (rVagHis, encoded by lcrV gene) of Y. enterocolitica were completely protected against challenge with both, Y. enterocolitica 0:8 and Y. pseudotuberculosis serotype III [PMID:10089162].	790	http://purl.obolibrary.org/obo/VO_0011321	http://purl.obolibrary.org/obo/VO_0011503
529	OGG_3000987033	In an attempt to generate a subunit vaccine in this experimental disease model, eukaryotic plasmid DNA expression vectors containing genes encoding either the wild-type or modified forms of recombinant listeriolysin O (hly) were generated and used for genetic vaccination of naive mice. Results of these studies indicate that the intramuscular immunization of mice with specifically designed plasmid DNA constructs encoding recombinant forms of listeriolysin O (hly) stimulates peptide-specific CD8+ immune T cells that exhibit in vitro cytotoxic activity. More importantly, such immunization can provide protective immunity against a subsequent challenge with viable L. monocytogenes [PMID:10384131].	842	http://purl.obolibrary.org/obo/VO_0012388	http://purl.obolibrary.org/obo/VO_0004031
2530	OGG_3001149129	Immunizing mice with a single peptide, YopE(69-77), suffices to confer significant protection from lethal pulmonary challenge [PMID:21653834].	1074		
